payment_id,user_id,payment_date,amount,currency
P000001,U00004,09-17-2023,75.83,USD
P000002,U00004,2023-07-03,76.6,USD
P000003,U00004,07-08-2023,79.33,USD
P000004,U00004,20/06/2023,79.65,USD
P000005,U00004,16/11/2023,80.13,USD
P000006,U00007,18/05/2023,28.95,USD
P000007,U00012,2024-03-24,0.0,USD
P000008,U00018,04/07/2023,29.76,USD
P000009,U00020,2024-03-02,0.0,GBP
P000010,U00020,05-12-2024,0.0,GBP
P000011,U00020,16/12/2023,0.0,GBP
P000012,U00020,12/09/2023,0.0,GBP
P000013,U00023,05/02/2024,28.78,USD
P000014,U00023,23/02/2024,29.0,USD
P000015,U00024,01-20-2024,28.35,USD
P000016,U00024,01/01/2024,28.29,USD
P000017,U00024,2024-01-30,28.66,USD
P000018,U00026,02/03/2024,28.49,USD
P000019,U00027,2024-06-24,77.02,EUR
P000020,U00030,15/05/2024,27.87,USD
P000021,U00035,12/01/2024,76.99,USD
P000022,U00035,2024-02-27,79.25,USD
P000023,U00035,28/06/2024,81.26,USD
P000024,U00035,21/05/2024,78.57,USD
P000025,U00035,10-22-2023,78.69,USD
P000026,U00035,2023-11-03,77.07,USD
P000027,U00035,2024-03-31,78.3,USD
P000028,U00035,2024-06-12,79.22,USD
P000029,U00035,01/03/2024,78.5,USD
P000030,U00037,2023-09-01,29.68,EUR
P000031,U00038,2024-03-07,78.75,GBP
P000032,U00042,30/08/2023,77.66,USD
P000033,U00042,2023-08-18,81.22,USD
P000034,U00042,2023-08-05,-79.59,USD
P000035,U00042,07/10/2023,79.0,USD
P000036,U00050,11-26-2023,0.0,USD
P000036,U00050,11-26-2023,0.0,USD
P000037,U00055,2023-01-21,0.0,USD
P000038,U00055,17/03/2023,0.0,USD
P000039,U00055,01-13-2023,0.0,USD
P000040,U00061,2023-12-15,79.05,USD
P000041,U00065,17/03/2023,28.16,USD
P000042,U00065,23/03/2023,29.03,USD
P000043,U00068,15/08/2023,0.0,USD
P000043,U00068,15/08/2023,0.0,USD
P000044,U00069,2024-05-31,27.68,NGN
P000045,U00071,25/08/2023,29.88,USD
P000046,U00074,2023-02-12,77.93,NGN
P000047,U00078,2023-10-11,28.51,USD
P000048,U00079,29/06/2024,80.76,INR
P000049,U00081,2023-01-27,0.0,USD
P000050,U00088,2023-04-12,0.0,USD
P000051,U00092,06/01/2023,77.02,USD
P000052,U00093,2023-11-29,29.05,GBP
P000053,U00093,2023-11-10,28.77,GBP
P000054,U00093,2023-12-21,30.18,GBP
P000054,U00093,2023-12-21,30.18,GBP
P000055,U00094,14/05/2024,-78.18,USD
P000056,U00095,26/04/2024,30.43,USD
P000057,U00095,21/02/2024,29.71,USD
P000058,U00095,04/04/2024,30.44,USD
P000059,U00095,27/06/2024,29.14,USD
P000060,U00095,06-26-2024,29.06,USD
P000060,U00095,06-26-2024,29.06,USD
P000061,U00098,01/05/2024,0.0,USD
P000062,U00100,2024-03-16,81.53,USD
P000063,U00100,06-10-2024,80.43,USD
P000064,U00100,03-07-2024,79.2,USD
P000065,U00100,04-09-2024,75.42,USD
P000066,U00100,04-11-2024,76.37,USD
P000067,U00101,2024-06-21,76.25,INR
P000068,U00101,28/03/2024,75.44,INR
P000069,U00102,11/10/2023,0.0$,USD
P000070,U00102,12-25-2023,0.0,USD
P000071,U00102,2023-12-03,0.0,USD
P000072,U00102,2023-11-11,0.0,USD
P000073,U00103,13/04/2023,28.11,USD
P000074,U00104,04-25-2023,27.96,USD
P000075,U00107,19/07/2023,28.42,USD
P000076,U00108,30/11/2023,78.06,USD
P000077,U00109,2023-07-28,29.85,EUR
P000078,U00109,27/02/2023,30.44,EUR
P000079,U00109,28/03/2023,30.07,EUR
P000080,U00109,05-02-2023,27.71,EUR
P000081,U00109,02/07/2023,28.35,EUR
P000082,U00109,2023-06-19,29.98,EUR
P000083,U00111,05-25-2024,80.31,GBP
P000084,U00111,06-04-2024,79.48,GBP
P000085,U00115,02-24-2024,75.98,GBP
P000086,U00127,07/12/2023,27.62,EUR
P000087,U00127,03/07/2023,28.4,EUR
P000088,U00127,25/11/2023,30.13,EUR
P000089,U00127,08-01-2023,28.35,EUR
P000090,U00128,02/12/2023,81.14,USD
P000091,U00133,2024-03-18,81.66,NGN
P000092,U00133,08/04/2024,80.75,NGN
P000093,U00133,02-15-2024,76.52,NGN
P000094,U00133,2024-01-16,77.82,NGN
P000095,U00133,11-15-2023,77.6,NGN
P000096,U00139,2024-06-28,30.2,NGN
P000097,U00141,16/06/2024,27.85,USD
P000098,U00142,10/12/2023,0.0,USD
P000099,U00142,12-20-2023,0.0,USD
P000100,U00150,2024-02-17,79.44,USD
P000101,U00153,22/03/2023,80.63,INR
P000102,U00154,05-02-2023,0.0,USD
P000103,U00156,2023-11-03,0.0,NGN
P000104,U00156,2023-12-20,0.0,NGN
P000105,U00156,01/11/2023,0.0,NGN
P000106,U00156,2023-11-07,0.0,NGN
P000107,U00156,19/11/2023,0.0,NGN
P000108,U00161,2023-08-06,29.28,USD
P000109,U00161,06-05-2023,28.17,USD
P000110,U00161,19/05/2023,28.51,USD
P000111,U00161,2023-04-18,29.77,USD
P000112,U00161,2023-07-17,27.7,USD
P000113,U00161,2023-07-18,27.73,USD
P000114,U00163,2023-04-10,29.43,USD
P000115,U00163,05/05/2023,30.29,USD
P000116,U00163,05/02/2024,28.73,USD
P000117,U00165,04/08/2023,27.81,USD
P000118,U00165,09-01-2023,29.39,USD
P000119,U00165,2023-06-18,27.61,USD
P000120,U00165,09-08-2023,28.63,USD
P000121,U00165,06/11/2023,29.0,USD
P000122,U00167,2024-04-19,28.1,USD
P000123,U00168,2024-01-27,78.01,USD
P000124,U00168,2024-01-18,76.23,USD
P000125,U00168,21/01/2024,82.07,USD
P000126,U00171,13/11/2023,28.11,USD
P000127,U00171,02/05/2024,28.87,USD
P000128,U00171,2023-06-18,29.49,USD
P000129,U00173,08-24-2023,75.51,USD
P000130,U00174,12-21-2023,80.29,USD
P000131,U00176,07-20-2023,77.58,USD
P000132,U00176,14/09/2023,78.24,USD
P000133,U00176,12/05/2023,77.59,USD
P000134,U00176,02-01-2024,81.14,USD
P000135,U00176,02-18-2024,75.38,USD
P000136,U00176,01-17-2024,82.16,USD
P000137,U00176,2023-04-20,79.27,USD
P000138,U00176,16/08/2023,82.67,USD
P000139,U00176,01-13-2024,79.07,USD
P000140,U00176,2023-12-29,75.4,USD
P000141,U00176,13/03/2024,76.8,USD
P000142,U00177,2023-08-13,28.15,USD
P000143,U00185,14/07/2023,76.99,USD
P000144,U00187,17/11/2023,-28.74,USD
P000145,U00198,02-05-2024,27.74,USD
P000146,U00199,2024-02-25,0.0,USD
P000147,U00199,02-11-2024,0.0,USD
P000148,U00210,05-12-2024,27.96,USD
P000149,U00210,2024-05-17,30.38,USD
P000150,U00210,09/04/2024,27.59,USD
P000151,U00211,2024-05-27,78.14,EUR
P000152,U00218,06-17-2024,27.97,GBP
P000153,U00221,2023-12-27,0.0$,USD
P000154,U00230,04-27-2024,0.0,USD
P000155,U00233,08-23-2023,30.1,USD
P000156,U00233,2023-04-04,30.34,USD
P000157,U00233,2023-06-18,29.7,USD
P000158,U00239,31/07/2023,0.0,USD
P000159,U00241,05-31-2024,29.62,USD
P000160,U00244,06-29-2024,77.47,USD
P000161,U00248,22/04/2024,28.18,USD
P000162,U00248,2024-05-23,28.8,USD
P000163,U00250,2023-09-03,29.78,INR
P000164,U00251,08-23-2023,29.76,NGN
P000165,U00251,2024-01-26,29.68,NGN
P000166,U00251,06/08/2023,27.61,NGN
P000167,U00251,05-30-2024,27.81,NGN
P000168,U00253,11-21-2023,29.24,USD
P000169,U00254,06-08-2023,82.01,USD
P000170,U00254,21/04/2023,76.3,USD
P000171,U00254,2023-05-18,81.75,USD
P000172,U00256,20/03/2024,28.93,USD
P000173,U00259,2023-07-23,0.0,GBP
P000174,U00259,2023-06-21,0.0,GBP
P000175,U00259,06-08-2023,0.0,GBP
P000176,U00259,19/07/2023,0.0,GBP
P000177,U00259,09-12-2023,0.0,GBP
P000178,U00259,08-07-2023,0.0,GBP
P000179,U00264,03/01/2024,28.31,EUR
P000180,U00266,2024-02-25,75.3,USD
P000180,U00266,2024-02-25,75.3,USD
P000181,U00269,30/10/2023,29.57,USD
P000182,U00269,03-27-2024,29.04,USD
P000183,U00269,2023-12-29,27.93,USD
P000184,U00269,01-26-2024,28.37,USD
P000185,U00273,09-21-2023,76.97,INR
P000186,U00273,02-03-2024,76.92,INR
P000187,U00273,25/03/2024,79.0,INR
P000188,U00275,13/05/2023,30.35,GBP
P000189,U00277,07/06/2024,28.09,USD
