session_id,user_id,session_start,session_end,session_duration_seconds
SES0000001,U00001,2024-06-28T17:55:18Z,28/06/2024 17:55,0
SES0000002,U00001,23/05/2024 20:20,2024-05-23 20:20:17,0
SES0000003,U00003,25/04/2024 06:09,25/04/2024 06:14,250
SES0000004,U00003,2024-04-07 08:56:03,07/04/2024 08:57,101
SES0000005,U00003,11/04/2024 09:30,11/04/2024 09:31,87
SES0000006,U00003,2024-05-14 13:55:48,2024-05-14T13:56:37Z,49
SES0000007,U00003,2024-05-04 04:04:43,2024-05-04 04:06:44,121
SES0000008,U00004,2023-07-19T17:42:41Z,2023-07-19 17:46:15,214
SES0000009,U00004,2023-07-18T01:31:05Z,2023-07-18T01:35:33Z,268
SES0000010,U00004,22/10/2023 16:28,22/10/2023 16:31,134
SES0000011,U00004,2023-12-09T10:35:48Z,09/12/2023 10:38,143
SES0000012,U00004,2023-10-28T01:29:43Z,28/10/2023 01:36,407
SES0000013,U00004,2023-10-22T23:23:11Z,2023-10-22T23:26:02Z,171
SES0000014,U00004,2023-12-10 18:48:46,2023-12-10T18:49:17Z,31
SES0000015,U00004,2023-10-27 12:16:33,2023-10-27 12:23:58,445
SES0000016,U00004,10/10/2023 19:23,10/10/2023 19:31,446
SES0000017,U00004,20/09/2023 04:40,2023-09-20T04:42:35Z,133
SES0000018,U00004,13/09/2023 23:01,13/09/2023 23:31,1808
SES0000019,U00004,09/09/2023 20:14,09/09/2023 20:18,222
SES0000020,U00004,01/11/2023 17:43,2023-11-01T17:44:36Z,72
SES0000021,U00004,2023-07-25 05:01:12,2023-07-25T05:14:49Z,817
SES0000022,U00004,2023-11-01 03:20:26,2023-11-01 03:22:09,103
SES0000023,U00004,29/08/2023 11:02,2023-08-29 11:03:52,102
SES0000024,U00004,2023-07-04T05:11:55Z,04/07/2023 05:28,977
SES0000025,U00004,15/10/2023 18:50,15/10/2023 18:50,8
SES0000026,U00004,2023-12-05T20:12:22Z,2023-12-05 20:17:29,307
SES0000027,U00004,03/09/2023 19:15,03/09/2023 19:19,212
SES0000028,U00005,2024-05-03T08:36:35Z,2024-05-03 08:43:40,425
SES0000029,U00007,2023-05-17T13:53:20Z,2023-05-17T13:57:47Z,267
SES0000030,U00007,12/05/2023 13:03,2023-05-12 13:04:25,55
SES0000031,U00007,2023-05-07T11:39:13Z,07/05/2023 11:43,231
SES0000032,U00007,2023-05-10 16:15:55,2023-05-10 16:16:27,32
SES0000033,U00007,2023-05-06T21:43:27Z,2023-05-06 21:44:33,66
SES0000034,U00007,19/05/2023 18:03,2023-05-19T18:04:34Z,84
SES0000035,U00007,2023-05-14 04:32:20,2023-05-14T04:45:07Z,767
SES0000036,U00007,11/05/2023 07:13,11/05/2023 07:22,511
SES0000037,U00007,2023-05-15 09:57:36,2023-05-15 09:58:55,
SES0000038,U00007,15/05/2023 21:19,15/05/2023 21:19,17
SES0000039,U00007,2023-05-10T10:40:12Z,2023-05-10T10:41:32Z,80
SES0000040,U00007,2023-05-16 02:09:15,2023-05-16 02:11:47,152
SES0000041,U00007,2023-05-19T09:39:42Z,2023-05-19 09:46:57,435
SES0000042,U00007,09/05/2023 17:07,2023-05-09 17:31:58,1474
SES0000043,U00007,17/05/2023 07:21,2023-05-17 07:21:38,11
SES0000044,U00007,09/05/2023 23:10,09/05/2023 23:10,30
SES0000045,U00007,2023-05-09 20:54:20,2023-05-09 20:55:32,72
SES0000046,U00007,2023-05-09 06:19:05,09/05/2023 06:20,
SES0000047,U00007,15/05/2023 21:50,15/05/2023 21:53,138
SES0000048,U00007,06/05/2023 06:14,2023-05-06 06:16:10,118
SES0000049,U00009,2023-03-20T10:36:21Z,2023-03-20 10:39:14,173
SES0000050,U00010,2023-02-16T03:04:04Z,2023-02-16 03:08:48,284
SES0000051,U00010,2023-02-08T23:11:28Z,08/02/2023 23:15,217
SES0000052,U00010,11/02/2023 06:50,2023-02-11T06:55:50Z,307
SES0000053,U00011,26/10/2023 03:51,2023-10-26 03:53:13,92
SES0000054,U00011,2023-10-27T16:31:23Z,27/10/2023 16:32,79
SES0000055,U00012,24/03/2024 18:40,24/03/2024 18:40,56
SES0000056,U00013,2023-07-07 04:23:11,2023-07-07 04:24:07,56
SES0000057,U00013,2023-07-03T10:05:48Z,2023-07-03T10:06:08Z,20
SES0000058,U00014,20/12/2023 14:33,2023-12-20T15:34:22Z,N/A
SES0000059,U00014,20/12/2023 10:30,2023-12-20 10:33:27,202
SES0000060,U00014,2023-12-23 20:43:23,2023-12-23 20:44:09,46
SES0000061,U00014,2023-12-21T08:54:35Z,21/12/2023 08:56,98
SES0000062,U00014,22/12/2023 08:01,2023-12-24T20:35:50Z,218049
SES0000063,U00014,24/12/2023 00:17,2023-12-26T03:32:23Z,184491
SES0000064,U00014,2023-12-24 05:45:31,24/12/2023 05:45,24
SES0000065,U00014,2023-12-25 04:24:47,25/12/2023 04:28,210
SES0000066,U00014,2023-12-22T05:52:52Z,2023-12-22 05:54:54,122
SES0000067,U00014,2023-12-20 05:06:28,2023-12-20 05:07:02,34
SES0000068,U00014,24/12/2023 11:26,2023-12-24 11:46:11,1167
SES0000069,U00014,20/12/2023 12:14,2023-12-20 12:15:34,51
SES0000070,U00014,25/12/2023 14:56,2023-12-25T15:11:57Z,941
SES0000071,U00014,2023-12-22T04:23:43Z,2023-12-22T04:24:15Z,32
