subscription_id,user_id,plan_type,start_date,end_date,status
S00001,U00001,free,2024-05-12,,active
S00002,U00002,free,2023-04-20,2023-07-19,canceled
S00003,U00003,free,2024/04/03,,active
S00004,U00004,pro,19/06/2023,2023-12-16,canceled
S00005,U00005,free,03-12-2024,,active
S00006,U00006,free,2023/06/22,06/07/2023,canceled
S00007,U00007,basic,06/05/2023,20/05/2023,canceled
S00008,U00008,free,2023/05/02,01/06/2023,canceled
S00009,U00009,free,2023-03-15,13/06/2023,canceled
S00010,U00010,free,05/02/2023,2023/02/19,canceled
S00011,U00011,free,23/10/2023,10-30-2023,canceled
S00012,U00012,free,03-24-2024,2024/03/31,canceled
S00013,U00013,free,01/07/2023,15/07/2023,canceled
S00014,U00014,free,2023-12-20,2023/12/27,canceled
S00015,U00015,free,2023/10/04,2023/10/11,canceled
S00016,U00016,free,18/04/2024,04-13-2024,canceled
S00017,U00017,free,2023-06-20,27/06/2023,canceled
S00018,U00018,basic,2023-06-29,2023-07-29,canceled
S00019,U00019,free,2023/07/27,03/08/2023,canceled
S00020,U00020,free,06-16-2023,06-15-2024,canceled
S00021,U00021,free,04-22-2023,2023-10-19,canceled
S00022,U00022,free,29/03/2024,2024/06/27,canceled
S00023,U00023,basic,2024/02/02,2024-02-09,canceled
S00024,U00024,basic,2023/03/29,03-28-2024,canceled
S00025,U00025,free,09/04/2024,04-23-2024,canceled
S00026,U00026,basic,16/02/2024,2024/05/16,canceled
S00027,U00027,pro,2024-06-13,,active
S00028,U00028,free,2023/08/17,16/09/2023,canceled
S00029,U00029,free,2023-07-25,08/08/2023,canceled
S00030,U00030,basic,05-02-2024,06-01-2024,canceled
S00031,U00031,free,02-17-2024,05-17-2024,canceled
S00032,U00032,free,18/01/2023,17/02/2023,canceled
S00033,U00033,free,2023-02-15,2024/02/15,canceled
S00034,U00034,free,2023/04/11,04-18-2023,canceled
S00035,U00035,pro,07-26-2023,,active
S00036,U00036,free,02-25-2024,10/03/2024,canceled
S00037,U00037,basic,09-01-2023,2023-09-08,canceled
S00038,U00038,pro,09/12/2023,2024/03/08,canceled
S00039,U00039,free,07-13-2023,2023-10-11,canceled
S00040,U00040,free,04-02-2024,,active
S00041,U00041,free,07/01/2023,2023-01-14,canceled
S00042,U00042,pro,28/06/2023,26/09/2023,canceled
S00043,U00043,free,05/02/2024,05-05-2024,canceled
S00044,U00044,free,19/03/2024,,active
S00045,U00045,free,2023-11-13,2023-12-13,canceled
S00046,U00046,free,10-03-2023,2024-01-01,canceled
S00047,U00047,free,2024-06-07,06-14-2024,canceled
S00048,U00048,free,10/11/2023,08/02/2024,canceled
S00049,U00049,free,05-31-2023,2023-06-14,canceled
S00050,U00050,free,25/11/2023,2023-12-02,canceled
S00051,U00051,free,02/03/2023,03-16-2023,canceled
S00052,U00052,free,2024-05-22,2024/06/21,canceled
S00053,U00053,free,2023-05-11,2024/05/10,canceled
S00054,U00054,free,11-09-2023,2023/11/16,canceled
S00055,U00055,free,2023/01/02,2023-04-02,canceled
S00056,U00056,free,2024/03/07,,active
S00057,U00057,free,2023/02/16,2023/05/17,canceled
S00058,U00058,free,09-01-2023,09-08-2023,canceled
S00059,U00059,free,01-28-2024,,active
S00060,U00060,free,2024/01/30,2024/02/06,canceled
S00061,U00061,pro,2023-11-11,09/05/2024,canceled
S00062,U00062,free,2024-04-28,,active
S00063,U00063,free,24/07/2023,23/08/2023,canceled
S00064,U00064,free,2023/11/05,2023/11/19,canceled
S00065,U00065,basic,2023/02/27,2023-05-28,canceled
S00066,U00066,free,24/02/2024,2024/03/25,canceled
S00067,U00067,free,09-30-2023,2023/10/07,canceled
S00068,U00068,free,2023-08-12,19/08/2023,canceled
S00069,U00069,basic,2024/05/24,2024/06/07,canceled
S00070,U00070,free,06-01-2024,,active
S00071,U00071,basic,2023-05-02,2023-10-29,canceled
S00072,U00072,free,2023-09-26,10-10-2023,canceled
S00073,U00073,free,2023-02-11,02-06-2023,canceled
S00074,U00074,pro,02-04-2023,2023/03/06,canceled
S00075,U00075,free,2024/03/05,19/03/2024,canceled
S00076,U00076,free,30/03/2023,2023/04/13,canceled
S00077,U00077,free,2023/04/28,27/04/2023,canceled
S00078,U00078,basic,2023/10/11,2023/10/25,canceled
S00079,U00079,pro,15/06/2024,,active
S00080,U00080,free,02/05/2023,06-01-2023,canceled
S00081,U00081,free,01-22-2023,29/01/2023,canceled
S00082,U00082,free,2024-06-06,,active
S00083,U00083,free,06/05/2023,2023-05-20,canceled
S00084,U00084,free,2023/02/02,02-02-2024,canceled
S00085,U00085,free,2023-06-28,2023/12/25,canceled
S00086,U00086,free,11-08-2023,2024-05-06,canceled
S00087,U00087,free,11-07-2023,2023/12/07,canceled
S00088,U00088,free,04-01-2023,04-15-2023,canceled
S00089,U00089,free,2023-01-31,03-02-2023,canceled
S00090,U00090,free,09-01-2023,09-08-2023,canceled
S00091,U00091,free,28/10/2023,2023-11-11,canceled
S00092,U00092,pro,01-04-2023,18/01/2023,canceled
S00093,U00093,basic,10-10-2023,2024-01-08,canceled
S00094,U00094,pro,2024/04/29,,active
S00095,U00095,basic,2024/01/30,,active
S00096,U00096,free,2023-11-09,11-16-2023,canceled
S00097,U00097,free,05-30-2023,2023/06/06,canceled
S00098,U00098,free,2024/04/25,2024/05/02,canceled
S00099,U00099,free,08-27-2023,2023/08/23,canceled
S00100,U00100,pro,12-30-2023,,active
S00101,U00101,pro,02-03-2024,,active
S00102,U00102,free,2023/08/10,2024/02/06,canceled
S00103,U00103,basic,03-16-2023,15/04/2023,canceled
S00104,U00104,basic,2023-04-25,2023-04-24,canceled
S00105,U00105,free,04-21-2024,28/04/2024,canceled
S00106,U00106,free,2024-03-23,30/03/2024,canceled
S00107,U00107,basic,09/07/2023,2023/07/23,canceled
S00108,U00108,pro,2023/11/29,2023-12-29,canceled
S00109,U00109,basic,02-10-2023,08-09-2023,canceled
S00110,U00110,free,04-14-2023,2023/04/28,canceled
S00111,U00111,pro,2024/03/02,,active
S00112,U00112,free,2023-07-12,2023/08/11,canceled
S00113,U00113,free,05-02-2024,2024/05/09,canceled
S00114,U00114,free,2023-08-10,2023/08/17,canceled
S00115,U00115,pro,02-24-2024,2024/02/23,canceled
S00116,U00116,free,2023/06/17,2024/06/16,canceled
S00117,U00117,free,28/02/2024,,active
S00118,U00118,free,11-25-2023,05-23-2024,canceled
S00119,U00119,free,01-06-2023,2023-01-13,canceled
S00120,U00120,free,23/11/2023,11-30-2023,canceled
S00121,U00121,free,01-15-2024,,active
S00122,U00122,free,2023/01/23,2023-04-23,canceled
S00123,U00123,free,2023/05/09,16/05/2023,canceled
S00124,U00124,free,2023-11-05,2024/02/03,canceled
S00125,U00125,free,2023-03-07,2023/03/21,canceled
S00126,U00126,free,24/05/2023,22/08/2023,canceled
S00127,U00127,basic,2023/06/14,2023-12-11,canceled
S00128,U00128,pro,2023-11-26,03/12/2023,canceled
S00129,U00129,free,2024-02-23,,active
S00130,U00130,free,2024-05-21,,active
S00131,U00131,free,29/04/2024,,active
S00132,U00132,free,03-16-2024,14/06/2024,canceled
S00133,U00133,pro,2023-10-14,04-11-2024,canceled
S00134,U00134,free,08/05/2023,08-06-2023,canceled
S00135,U00135,free,02/09/2023,2023/09/09,canceled
S00136,U00136,free,2023/06/05,06-04-2023,canceled
S00137,U00137,free,06-26-2024,,active
