user_id,signup_date,country,acquisition_channel,device_type
U00001,11/05/2024,Brazil,ads,mobile
U00002,2023-04-19,Brazil,organic,desktop
U00003,2024-04-03,Canada,organic,mobile
U00004,2023-06-19,US,ads,desktop
U00005,2024/03/11,US,social,desktop
U00006,2023-06-21,Canada,referral,mobile
U00007,05-05-2023,IN,ads,mobile
U00008,2023-05-01,US,email,mobile
U00009,03-14-2023,UK,organic,mobile
U00010,2023-02-03,Brazil,ads,desktop
U00011,10-22-2023,UK,referral,desktop
U00012,24/03/2024,US,organic,desktop
U00013,06-30-2023,Kenya,organic,mobile
U00014,12-19-2023,NG,ads,mobile
U00015,2023-10-03,US,social,mobile
U00016,18/04/2024,NG,organic,desktop
U00017,2023-06-20,India,ads,tablet
U00018,2023/06/27,France,organic,mobile
U00019,07-27-2023,US,organic,desktop
U00020,2023/06/15,nigeria,ads,desktop
U00021,04-21-2023,usa,organic,mobile
U00022,29/03/2024,uk,ads,mobile
U00023,2024-01-31,CA,organic,tablet
U00024,2023/03/27,US,referral,mobile
U00025,2024/04/08,US,ads,mobile
U00026,2024-02-15,usa,referral,mobile
U00027,06-13-2024,,referral,tablet
U00028,2023-08-16,Canada,organic,desktop
U00029,2023-07-24,Germany,email,mobile
U00030,30/04/2024,UK,referral,desktop
U00031,2024/02/16,US,referral,mobile
U00032,16/01/2023,US,ads,mobile
U00033,2023-02-14,usa,referral,mobile
U00034,10/04/2023,India,ads,desktop
U00035,25/07/2023,Germany,referral,desktop
U00036,23/02/2024,Brazil,social,desktop
U00037,08-31-2023,uk,social,desktop
U00038,2023-12-07,,referral,desktop
U00039,2023-07-12,US,organic,mobile
U00040,01/04/2024,Germany,organic,desktop
U00041,2023-01-06,US,social,desktop
U00042,2023-06-27,US,organic,mobile
U00043,04/02/2024,India,ads,mobile
U00044,2024/03/19,Nigeria,ads,mobile
U00045,2023/11/13,US,organic,mobile
U00046,2023-10-03,Canada,ads,desktop
U00047,2024-06-07,nigeria,referral,mobile
U00048,09/11/2023,Brazil,ads,mobile
U00049,29/05/2023,US,referral,desktop
U00050,24/11/2023,US,ads,desktop
U00051,2023-02-28,Canada,referral,mobile
U00052,21/05/2024,Germany,organic,mobile
U00053,10/05/2023,Canada,ads,desktop
U00054,2023/11/08,,organic,mobile
U00055,01-02-2023,uk,ads,desktop
U00056,07/03/2024,India,social,desktop
U00057,2023-02-15,Nigeria,social,desktop
U00058,2023/09/01,US,organic,desktop
U00059,2024-01-26,Kenya,referral,mobile
U00060,2024-01-30,US,organic,mobile
U00061,2023-11-10,US,referral,mobile
U00062,04-26-2024,US,ads,desktop
U00063,07-22-2023,IN,ads,mobile
U00064,11-04-2023,nigeria,ads,desktop
U00065,2023-02-26,NG,referral,mobile
U00066,22/02/2024,US,ads,mobile
U00067,09-29-2023,South Africa,organic,mobile
U00068,08-10-2023,US,ads,desktop
